nationality_id,iso_alpha3,nationality_name,faculty_code,faculty_name,student_count,param_year,param_semester,source_file
IN,IND,อินเดีย (Indian),16,เศรษฐศาสตร์,2.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-IN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2208310c.json
LA,LAO,ลาว (Lao),02,ศึกษาศาสตร์,2.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-LA_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5921e99d.json
JP,JPN,ญี่ปุ่น (Japanese),06,วิศวกรรมศาสตร์,2.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-JP_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c49f0e7d.json
IN,IND,อินเดีย (Indian),10,เภสัชศาสตร์,2.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-IN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2208310c.json
PK,PAK,ปากีสถาน (Pakistani),28,พหุวิทยาการและสหวิทยาการ,1.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-PK_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__bd937575.json
ID,IDN,อินโดนีเซีย (Indonesian),09,ทันตแพทยศาสตร์,1.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-ID_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__888ba8d1.json
PK,PAK,ปากีสถาน (Pakistani),16,เศรษฐศาสตร์,1.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-PK_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__bd937575.json
ID,IDN,อินโดนีเซีย (Indonesian),12,พยาบาลศาสตร์,1.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-ID_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__888ba8d1.json
ID,IDN,อินโดนีเซีย (Indonesian),16,เศรษฐศาสตร์,1.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-ID_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__888ba8d1.json
PK,PAK,ปากีสถาน (Pakistani),14,สัตวแพทยศาสตร์,1.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-PK_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__bd937575.json
ID,IDN,อินโดนีเซีย (Indonesian),21,ศิลปะ สื่อ และเทคโนโลยี,1.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-ID_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__888ba8d1.json
PK,PAK,ปากีสถาน (Pakistani),08,เกษตรศาสตร์,1.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-PK_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__bd937575.json
PK,PAK,ปากีสถาน (Pakistani),07,แพทยศาสตร์,1.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-PK_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__bd937575.json
CN,CHN,จีน (Chinese),20,นิติศาสตร์,1.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-CN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b502ee6e.json
BD,BGD,บังกลาเทศ (Bangladeshi),04,สังคมศาสตร์,1.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-BD_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__a0836a68.json
CN,CHN,จีน (Chinese),09,ทันตแพทยศาสตร์,1.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-CN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b502ee6e.json
BD,BGD,บังกลาเทศ (Bangladeshi),27,วิจัยวิทยาศาสตร์สุขภาพ,1.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-BD_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__a0836a68.json
VN,VNM,เวียดนาม (Vietnamese),25,นโยบายสาธารณะ,1.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-VN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__7888b8b9.json
BD,BGD,บังกลาเทศ (Bangladeshi),06,วิศวกรรมศาสตร์,1.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-BD_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__a0836a68.json
VN,VNM,เวียดนาม (Vietnamese),21,ศิลปะ สื่อ และเทคโนโลยี,1.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-VN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__7888b8b9.json
BD,BGD,บังกลาเทศ (Bangladeshi),07,แพทยศาสตร์,1.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-BD_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__a0836a68.json
VN,VNM,เวียดนาม (Vietnamese),16,เศรษฐศาสตร์,1.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-VN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__7888b8b9.json
VN,VNM,เวียดนาม (Vietnamese),13,อุตสาหกรรมเกษตร,1.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-VN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__7888b8b9.json
VN,VNM,เวียดนาม (Vietnamese),12,พยาบาลศาสตร์,1.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-VN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__7888b8b9.json
BD,BGD,บังกลาเทศ (Bangladeshi),13,อุตสาหกรรมเกษตร,1.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-BD_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__a0836a68.json
VN,VNM,เวียดนาม (Vietnamese),05,วิทยาศาสตร์,1.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-VN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__7888b8b9.json
