stat_id,faculty_code,faculty_name,program_code,program_name,admit_year,graduation_year,graduation_semester,graduate_count,source_file
s003003,28,วิทยาลัยพหุวิทยาการและสหวิทยาการ,17,วิทยาศาสตร์การกีฬา,2567.0,2569.0,1,1.0,data_s003003__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
s003003,28,วิทยาลัยพหุวิทยาการและสหวิทยาการ,31,บูรณาการศาสตร์,2567.0,2569.0,1,1.0,data_s003003__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
s003003,14,คณะสัตวแพทยศาสตร์,03,วิทยาศาสตร์การสัตวแพทย์,2568.0,2569.0,1,1.0,data_s003003__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
s003003,19,คณะรัฐศาสตร์และรัฐประศาสนศาสตร์,02,รัฐประศาสนศาสตร์,2568.0,2569.0,1,1.0,data_s003003__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
s003003,22,คณะสาธารณสุขศาสตร์,01,สาธารณสุขศาสตร์,2568.0,2569.0,1,1.0,data_s003003__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
s003002,06,คณะวิศวกรรมศาสตร์,,,3499.0,2568.0,3,113.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-3_semestercurrent-3_sex-999_student_type-999_year-2568__bda185f6.json
s003002,12,คณะพยาบาลศาสตร์,,,3499.0,2568.0,3,100.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-3_semestercurrent-3_sex-999_student_type-999_year-2568__bda185f6.json
s003002,09,คณะทันตแพทยศาสตร์,,,3499.0,2568.0,3,83.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-3_semestercurrent-3_sex-999_student_type-999_year-2568__bda185f6.json
s003002,05,คณะวิทยาศาสตร์,,,3499.0,2568.0,3,56.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-3_semestercurrent-3_sex-999_student_type-999_year-2568__bda185f6.json
s003002,02,คณะศึกษาศาสตร์,,,3499.0,2568.0,3,49.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-3_semestercurrent-3_sex-999_student_type-999_year-2568__bda185f6.json
s003002,01,คณะมนุษยศาสตร์,,,3499.0,2568.0,3,46.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-3_semestercurrent-3_sex-999_student_type-999_year-2568__bda185f6.json
s003002,16,คณะเศรษฐศาสตร์,,,3499.0,2568.0,3,45.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-3_semestercurrent-3_sex-999_student_type-999_year-2568__bda185f6.json
s003002,03,คณะวิจิตรศิลป์,,,3499.0,2568.0,3,44.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-3_semestercurrent-3_sex-999_student_type-999_year-2568__bda185f6.json
s003002,15,คณะบริหารธุรกิจ,,,3499.0,2568.0,3,40.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-3_semestercurrent-3_sex-999_student_type-999_year-2568__bda185f6.json
s003002,08,คณะเกษตรศาสตร์,,,3499.0,2568.0,3,35.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-3_semestercurrent-3_sex-999_student_type-999_year-2568__bda185f6.json
s003002,20,คณะนิติศาสตร์,,,3499.0,2568.0,3,28.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-3_semestercurrent-3_sex-999_student_type-999_year-2568__bda185f6.json
s003002,21,วิทยาลัยศิลปะ สื่อ และเทคโนโลยี,,,3499.0,2568.0,3,27.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-3_semestercurrent-3_sex-999_student_type-999_year-2568__bda185f6.json
s003002,07,คณะแพทยศาสตร์,,,3499.0,2568.0,3,24.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-3_semestercurrent-3_sex-999_student_type-999_year-2568__bda185f6.json
s003002,13,คณะอุตสาหกรรมเกษตร,,,3499.0,2568.0,3,24.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-3_semestercurrent-3_sex-999_student_type-999_year-2568__bda185f6.json
s003002,17,คณะสถาปัตยกรรมศาสตร์,,,3499.0,2568.0,3,15.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-3_semestercurrent-3_sex-999_student_type-999_year-2568__bda185f6.json
s003002,28,วิทยาลัยพหุวิทยาการและสหวิทยาการ,,,3499.0,2568.0,3,15.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-3_semestercurrent-3_sex-999_student_type-999_year-2568__bda185f6.json
s003002,22,คณะสาธารณสุขศาสตร์,,,3499.0,2568.0,3,11.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-3_semestercurrent-3_sex-999_student_type-999_year-2568__bda185f6.json
s003002,04,คณะสังคมศาสตร์,,,3499.0,2568.0,3,10.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-3_semestercurrent-3_sex-999_student_type-999_year-2568__bda185f6.json
s003002,18,คณะการสื่อสารมวลชน,,,3499.0,2568.0,3,10.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-3_semestercurrent-3_sex-999_student_type-999_year-2568__bda185f6.json
s003002,19,คณะรัฐศาสตร์และรัฐประศาสนศาสตร์,,,3499.0,2568.0,3,10.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-3_semestercurrent-3_sex-999_student_type-999_year-2568__bda185f6.json
s003002,11,คณะเทคนิคการแพทย์,,,3499.0,2568.0,3,8.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-3_semestercurrent-3_sex-999_student_type-999_year-2568__bda185f6.json
s003002,24,วิทยาลัยนานาชาตินวัตกรรมดิจิทัล,,,3499.0,2568.0,3,8.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-3_semestercurrent-3_sex-999_student_type-999_year-2568__bda185f6.json
s003002,26,สถาบันวิศวกรรมชีวการแพทย์,,,3499.0,2568.0,3,5.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-3_semestercurrent-3_sex-999_student_type-999_year-2568__bda185f6.json
s003002,10,คณะเภสัชศาสตร์,,,3499.0,2568.0,3,4.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-3_semestercurrent-3_sex-999_student_type-999_year-2568__bda185f6.json
s003002,14,คณะสัตวแพทยศาสตร์,,,3499.0,2568.0,3,2.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-3_semestercurrent-3_sex-999_student_type-999_year-2568__bda185f6.json
s003002,27,สถาบันวิจัยวิทยาศาสตร์สุขภาพ,,,3499.0,2568.0,3,2.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-3_semestercurrent-3_sex-999_student_type-999_year-2568__bda185f6.json
s003002,01,คณะมนุษยศาสตร์,,,3499.0,2568.0,2,651.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s003002,06,คณะวิศวกรรมศาสตร์,,,3499.0,2568.0,2,628.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s003002,15,คณะบริหารธุรกิจ,,,3499.0,2568.0,2,532.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s003002,05,คณะวิทยาศาสตร์,,,3499.0,2568.0,2,471.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s003002,02,คณะศึกษาศาสตร์,,,3499.0,2568.0,2,356.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s003002,16,คณะเศรษฐศาสตร์,,,3499.0,2568.0,2,341.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s003002,11,คณะเทคนิคการแพทย์,,,3499.0,2568.0,2,290.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s003002,18,คณะการสื่อสารมวลชน,,,3499.0,2568.0,2,288.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s003002,07,คณะแพทยศาสตร์,,,3499.0,2568.0,2,282.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s003002,08,คณะเกษตรศาสตร์,,,3499.0,2568.0,2,282.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s003002,13,คณะอุตสาหกรรมเกษตร,,,3499.0,2568.0,2,275.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s003002,21,วิทยาลัยศิลปะ สื่อ และเทคโนโลยี,,,3499.0,2568.0,2,267.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s003002,03,คณะวิจิตรศิลป์,,,3499.0,2568.0,2,241.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s003002,19,คณะรัฐศาสตร์และรัฐประศาสนศาสตร์,,,3499.0,2568.0,2,233.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s003002,12,คณะพยาบาลศาสตร์,,,3499.0,2568.0,2,232.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s003002,04,คณะสังคมศาสตร์,,,3499.0,2568.0,2,230.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s003002,20,คณะนิติศาสตร์,,,3499.0,2568.0,2,178.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s003002,10,คณะเภสัชศาสตร์,,,3499.0,2568.0,2,134.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s003002,17,คณะสถาปัตยกรรมศาสตร์,,,3499.0,2568.0,2,121.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s003002,14,คณะสัตวแพทยศาสตร์,,,3499.0,2568.0,2,69.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s003002,09,คณะทันตแพทยศาสตร์,,,3499.0,2568.0,2,64.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s003002,24,วิทยาลัยนานาชาตินวัตกรรมดิจิทัล,,,3499.0,2568.0,2,41.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s003002,28,วิทยาลัยพหุวิทยาการและสหวิทยาการ,,,3499.0,2568.0,2,29.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s003002,22,คณะสาธารณสุขศาสตร์,,,3499.0,2568.0,2,17.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s003002,27,สถาบันวิจัยวิทยาศาสตร์สุขภาพ,,,3499.0,2568.0,2,8.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s003002,25,สถาบันนโยบายสาธารณะ,,,3499.0,2568.0,2,4.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s003002,06,คณะวิศวกรรมศาสตร์,,,3499.0,2568.0,1,150.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2568__5ca58e19.json
s003002,15,คณะบริหารธุรกิจ,,,3499.0,2568.0,1,115.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2568__5ca58e19.json
s003002,16,คณะเศรษฐศาสตร์,,,3499.0,2568.0,1,94.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2568__5ca58e19.json
