admission_scope,admit_year,faculty_code,faculty_name,issued_male,issued_female,issued_total,waived_male,waived_female,waived_total,remaining_male,remaining_female,remaining_total,waive_rate,yield_rate,source_file
all,2568,,วิทยาลัยศิลปะ สื่อ และเทคโนโลยี,274.0,193.0,467.0,19.0,14.0,33.0,255.0,179.0,434.0,0.07066381156316917,0.9293361884368309,data_s002001__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
all,2568,,คณะพยาบาลศาสตร์,76.0,377.0,453.0,6.0,15.0,21.0,70.0,362.0,432.0,0.046357615894039736,0.9536423841059603,data_s002001__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
all,2568,,คณะเทคนิคการแพทย์,108.0,287.0,395.0,4.0,4.0,8.0,104.0,283.0,387.0,0.020253164556962026,0.979746835443038,data_s002001__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
all,2568,,คณะนิติศาสตร์,119.0,254.0,373.0,1.0,8.0,9.0,118.0,246.0,364.0,0.024128686327077747,0.9758713136729222,data_s002001__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
all,2568,,คณะสังคมศาสตร์,141.0,278.0,419.0,25.0,31.0,56.0,116.0,247.0,363.0,0.13365155131264916,0.8663484486873508,data_s002001__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
all,2568,,คณะรัฐศาสตร์และรัฐประศาสนศาสตร์,150.0,228.0,378.0,10.0,15.0,25.0,140.0,213.0,353.0,0.06613756613756613,0.9338624338624338,data_s002001__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
all,2568,,คณะการสื่อสารมวลชน,129.0,211.0,340.0,3.0,4.0,7.0,126.0,207.0,333.0,0.020588235294117647,0.9794117647058823,data_s002001__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
all,2568,,คณะแพทยศาสตร์,154.0,163.0,317.0,7.0,5.0,12.0,147.0,158.0,305.0,0.03785488958990536,0.9621451104100947,data_s002001__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
all,2568,,คณะสถาปัตยกรรมศาสตร์,105.0,150.0,255.0,5.0,12.0,17.0,100.0,138.0,238.0,0.06666666666666667,0.9333333333333333,data_s002001__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
all,2568,,คณะทันตแพทยศาสตร์,74.0,162.0,237.0,5.0,7.0,13.0,69.0,155.0,224.0,0.05485232067510549,0.9451476793248945,data_s002001__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
all,2568,,คณะเภสัชศาสตร์,76.0,146.0,222.0,2.0,6.0,8.0,74.0,140.0,214.0,0.036036036036036036,0.963963963963964,data_s002001__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
all,2568,,วิทยาลัยนานาชาตินวัตกรรมดิจิทัล,129.0,88.0,217.0,18.0,12.0,30.0,111.0,76.0,187.0,0.1382488479262673,0.8617511520737328,data_s002001__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
all,2568,,คณะสัตวแพทยศาสตร์,43.0,86.0,129.0,3.0,1.0,4.0,40.0,85.0,125.0,0.031007751937984496,0.9689922480620154,data_s002001__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
all,2568,,วิทยาลัยพหุวิทยาการและสหวิทยาการ,42.0,54.0,96.0,11.0,9.0,20.0,31.0,45.0,76.0,0.20833333333333334,0.7916666666666666,data_s002001__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
all,2568,,คณะสาธารณสุขศาสตร์,15.0,30.0,46.0,5.0,6.0,12.0,10.0,24.0,34.0,0.2608695652173913,0.7391304347826086,data_s002001__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
all,2568,,สถาบันวิจัยวิทยาศาสตร์สุขภาพ,14.0,17.0,32.0,2.0,4.0,7.0,12.0,13.0,25.0,0.21875,0.78125,data_s002001__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
all,2568,,สถาบันนโยบายสาธารณะ,14.0,17.0,31.0,6.0,4.0,10.0,8.0,13.0,21.0,0.3225806451612903,0.6774193548387096,data_s002001__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
all,2568,,สถาบันวิศวกรรมชีวการแพทย์,5.0,5.0,10.0,3.0,0.0,3.0,2.0,5.0,7.0,0.3,0.7,data_s002001__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
all,2567,,คณะวิศวกรรมศาสตร์,976.0,509.0,1485.0,46.0,32.0,78.0,930.0,477.0,1407.0,0.052525252525252523,0.9474747474747475,data_s002001__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
all,2567,,คณะมนุษยศาสตร์,309.0,693.0,1002.0,15.0,28.0,43.0,294.0,665.0,959.0,0.04291417165668663,0.9570858283433133,data_s002001__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
all,2567,,คณะวิทยาศาสตร์,383.0,593.0,976.0,28.0,34.0,62.0,355.0,559.0,914.0,0.06352459016393443,0.9364754098360656,data_s002001__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
all,2567,,คณะบริหารธุรกิจ,226.0,574.0,800.0,14.0,21.0,35.0,212.0,553.0,765.0,0.04375,0.95625,data_s002001__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
all,2567,,คณะเศรษฐศาสตร์,274.0,465.0,739.0,21.0,36.0,57.0,253.0,429.0,682.0,0.07713125845737483,0.9228687415426252,data_s002001__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
all,2567,,คณะเกษตรศาสตร์,197.0,390.0,587.0,11.0,13.0,24.0,186.0,377.0,563.0,0.04088586030664395,0.959114139693356,data_s002001__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
all,2567,,คณะศึกษาศาสตร์,225.0,368.0,593.0,15.0,16.0,31.0,210.0,352.0,562.0,0.05227655986509275,0.9477234401349073,data_s002001__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
all,2567,,คณะอุตสาหกรรมเกษตร,134.0,387.0,521.0,7.0,9.0,16.0,127.0,378.0,505.0,0.030710172744721688,0.9692898272552783,data_s002001__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
