stat_id,faculty_code,faculty_name,program_code,program_name,level,curriculum_type,student_count,param_year,param_semester,param_admityear,source_file
s004005,21,วิทยาลัยศิลปะ สื่อ และเทคโนโลยี,03,การจัดการความรู้และนวัตกรรม,ปริญญาโท,,77.0,2567,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2567__cc2eb791.json
s004005,15,คณะบริหารธุรกิจ,04,การตลาด,ปริญญาโท,,77.0,2568,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2568__5ca58e19.json
s004005,22,คณะสาธารณสุขศาสตร์,01,สาธารณสุขศาสตร์,ปริญญาโท,,77.0,2568,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2568__5ca58e19.json
s004005,24,วิทยาลัยนานาชาตินวัตกรรมดิจิทัล,01,นวัตกรรมดิจิทัลและเทคโนโลยีการเงิน,ปริญญาโท,,77.0,2568,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2568__5ca58e19.json
s004005,01,คณะมนุษยศาสตร์,01,จิตวิทยาการปรึกษา,ปริญญาโท,,76.0,2568,2,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s004005,21,วิทยาลัยศิลปะ สื่อ และเทคโนโลยี,04,การจัดการเทคโนโลยีดิจิทัล,ปริญญาโท,,74.0,2567,2,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2567__14bbb763.json
s004005,06,คณะวิศวกรรมศาสตร์,02,วิศวกรรมโยธา,ปริญญาโท,,74.0,2568,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2568__5ca58e19.json
s004005,21,วิทยาลัยศิลปะ สื่อ และเทคโนโลยี,03,การจัดการความรู้และนวัตกรรม,ปริญญาโท,,74.0,2568,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2568__5ca58e19.json
s004005,24,วิทยาลัยนานาชาตินวัตกรรมดิจิทัล,01,นวัตกรรมดิจิทัลและเทคโนโลยีการเงิน,ปริญญาโท,,74.0,2568,2,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s004005,06,คณะวิศวกรรมศาสตร์,01,วิศวกรรมและการบริหารการก่อสร้าง,ปริญญาโท,,73.0,2567,2,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2567__14bbb763.json
